strain,replicate,matrix
ca1200,combined,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE188nnn/GSE188849/suppl/GSE188849_CA1200_auxin1hr_L2-L3_JK07_JK08_30.hic
ss01a,combined,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE188nnn/GSE188849/suppl/GSE188849_SS01A_auxin1hr_L2-L3_JK09_JK10_30.hic
